year,month,day,date_frac,spotNum,sigma,numOfObs,prov_sdef
2009,01,01,2009.001,   0,  2.0,  12,1
2009,01,02,2009.004,   0,  2.0,  13,1
2009,01,03,2009.007,   0,  2.0,  14,1
2009,01,04,2009.010,   0,  2.0,  12,1
2009,01,05,2009.012,   0,  2.0,  14,1
2009,01,06,2009.015,   0,  2.0,  10,1
2009,01,07,2009.018,   0,  2.0,  10,1
2009,01,08,2009.021,   0,  2.0,   9,1
2009,01,09,2009.023,   7,  0.9,   6,1
2009,01,10,2009.026,   9,  0.9,   7,1
2009,01,11,2009.029,  10,  0.8,   4,1
2009,01,12,2009.032,   8,  0.6,   2,1
2009,01,13,2009.034,   0,  2.0,   8,1
2009,01,14,2009.037,   0,  2.0,  13,1
2009,01,15,2009.040,   0,  2.0,  10,1
2009,01,16,2009.042,   0,  2.0,   5,1
2009,01,17,2009.045,   0,  2.0,  12,1
2009,01,18,2009.048,   0,  2.0,   8,1
2009,01,19,2009.051,   7,  2.0,   9,1
2009,01,20,2009.053,   0,  2.0,  12,1
2009,01,21,2009.056,   0,  2.0,   9,1
2009,01,22,2009.059,   0,  2.0,  13,1
2009,01,23,2009.062,   0,  2.0,  12,1
2009,01,24,2009.064,   0,  2.0,  10,1
2009,01,25,2009.067,   0,  2.0,   8,1
2009,01,26,2009.070,   0,  2.0,  17,1
2009,01,27,2009.073,   0,  2.0,  14,1
2009,01,28,2009.075,   0,  2.0,  11,1
2009,01,29,2009.078,   0,  2.0,   8,1
2009,01,30,2009.081,   0,  2.0,  14,1
2009,01,31,2009.084,   0,  2.0,  11,1
2009,02,01,2009.086,   0,  2.0,  16,1
2009,02,02,2009.089,   0,  2.0,  10,1
2009,02,03,2009.092,   0,  2.0,  14,1
2009,02,04,2009.095,   0,  2.0,  12,1
2009,02,05,2009.097,   0,  2.0,  16,1
2009,02,06,2009.100,   0,  2.0,  17,1
2009,02,07,2009.103,   0,  2.0,  13,1
2009,02,08,2009.105,   0,  2.0,  16,1
2009,02,09,2009.108,   0,  2.0,   9,1
2009,02,10,2009.111,   0,  2.0,  13,1
2009,02,11,2009.114,   7,  2.8,  15,1
2009,02,12,2009.116,   6,  1.1,  19,1
2009,02,13,2009.119,   6,  5.0,  11,1
2009,02,14,2009.122,   0,  2.0,  19,1
2009,02,15,2009.125,   0,  2.0,  13,1
2009,02,16,2009.127,   0,  2.0,  13,1
2009,02,17,2009.130,   0,  2.0,  12,1
2009,02,18,2009.133,   0,  2.0,  20,1
2009,02,19,2009.136,   0,  2.0,  16,1
2009,02,20,2009.138,   0,  2.0,  10,1
2009,02,21,2009.141,   0,  2.0,  18,1
2009,02,22,2009.144,   0,  2.0,  12,1
2009,02,23,2009.147,   0,  2.0,  10,1
2009,02,24,2009.149,   7,  2.3,  12,1
2009,02,25,2009.152,   7,  3.8,  10,1
2009,02,26,2009.155,   0,  2.0,  14,1
2009,02,27,2009.158,   0,  2.0,   9,1
2009,02,28,2009.160,   0,  2.0,  16,1
2009,03,01,2009.163,   0,  2.0,  17,1
2009,03,02,2009.166,   0,  2.0,  15,1
2009,03,03,2009.168,   0,  2.0,   9,1
2009,03,04,2009.171,   0,  2.0,  10,1
2009,03,05,2009.174,   0,  2.0,  14,1
2009,03,06,2009.177,   7,  1.3,  12,1
2009,03,07,2009.179,   7,  2.1,  17,1
2009,03,08,2009.182,   0,  2.0,  19,1
2009,03,09,2009.185,   0,  2.0,  17,1
2009,03,10,2009.188,   0,  2.0,  14,1
2009,03,11,2009.190,   0,  2.0,  19,1
2009,03,12,2009.193,   0,  2.0,  15,1
2009,03,13,2009.196,   0,  2.0,  15,1
2009,03,14,2009.199,   0,  2.0,  20,1
2009,03,15,2009.201,   0,  2.0,  19,1
2009,03,16,2009.204,   0,  2.0,  18,1
2009,03,17,2009.207,   0,  2.0,  21,1
2009,03,18,2009.210,   0,  2.0,  22,1
2009,03,19,2009.212,   0,  2.0,  22,1
2009,03,20,2009.215,   0,  2.0,  21,1
2009,03,21,2009.218,   0,  2.0,  22,1
2009,03,22,2009.221,   0,  2.0,  15,1
2009,03,23,2009.223,   0,  2.0,  18,1
2009,03,24,2009.226,   0,  2.0,  19,1
2009,03,25,2009.229,   0,  2.0,  16,1
2009,03,26,2009.232,   6,  2.7,  12,1
2009,03,27,2009.234,   0,  2.0,  17,1
2009,03,28,2009.237,   0,  2.0,  14,1
2009,03,29,2009.240,   0,  2.0,  18,1
2009,03,30,2009.242,   0,  2.0,  17,1
2009,03,31,2009.245,   0,  2.0,  19,1
2009,04,01,2009.248,   0,  2.0,  18,1
2009,04,02,2009.251,   0,  2.0,  23,1
2009,04,03,2009.253,   0,  2.0,  20,1
2009,04,04,2009.256,   0,  2.0,  18,1
2009,04,05,2009.259,   0,  2.0,  22,1
2009,04,06,2009.262,   0,  2.0,  23,1
2009,04,07,2009.264,   0,  2.0,  20,1
2009,04,08,2009.267,   0,  2.0,  19,1
2009,04,09,2009.270,   0,  2.0,  22,1
2009,04,10,2009.273,   0,  2.0,  22,1
2009,04,11,2009.275,   0,  2.0,  20,1
2009,04,12,2009.278,   0,  2.0,  17,1
2009,04,13,2009.281,   0,  2.0,  20,1
2009,04,14,2009.284,   0,  2.0,  22,1
2009,04,15,2009.286,   0,  2.0,  23,1
2009,04,16,2009.289,   0,  2.0,  17,1
2009,04,17,2009.292,   0,  2.0,  13,1
2009,04,18,2009.295,   0,  2.0,  18,1
2009,04,19,2009.297,   0,  2.0,  20,1
2009,04,20,2009.300,   0,  2.0,  18,1
2009,04,21,2009.303,  11,  3.9,  17,1
2009,04,22,2009.305,   0,  2.0,  20,1
2009,04,23,2009.308,   0,  2.0,  21,1
2009,04,24,2009.311,   0,  2.0,  18,1
2009,04,25,2009.314,   0,  2.0,  17,1
2009,04,26,2009.316,   0,  2.0,  17,1
2009,04,27,2009.319,   0,  2.0,  21,1
2009,04,28,2009.322,   0,  2.0,  16,1
2009,04,29,2009.325,  13,  4.1,  20,1
2009,04,30,2009.327,  13,  2.4,  24,1
2009,05,01,2009.330,   0,  2.0,  23,1
2009,05,02,2009.333,   0,  2.0,  23,1
2009,05,03,2009.336,   0,  2.0,  23,1
2009,05,04,2009.338,   7,  4.0,  21,1
2009,05,05,2009.341,   0,  2.0,  12,1
2009,05,06,2009.344,   0,  2.0,  13,1
2009,05,07,2009.347,   0,  2.0,  20,1
2009,05,08,2009.349,   0,  2.0,  20,1
2009,05,09,2009.352,   0,  2.0,  18,1
2009,05,10,2009.355,   0,  2.0,  21,1
2009,05,11,2009.358,   0,  2.0,  20,1
2009,05,12,2009.360,   0,  2.0,  19,1
2009,05,13,2009.363,   7,  2.6,  16,1
2009,05,14,2009.366,  10,  2.3,  20,1
2009,05,15,2009.368,   9,  1.9,  18,1
2009,05,16,2009.371,   8,  2.1,  20,1
2009,05,17,2009.374,   9,  2.9,  15,1
2009,05,18,2009.377,   8,  1.5,  23,1
2009,05,19,2009.379,   7,  5.3,  20,1
2009,05,20,2009.382,   0,  2.0,  24,1
2009,05,21,2009.385,   0,  2.0,  19,1
2009,05,22,2009.388,   8,  2.0,  20,1
2009,05,23,2009.390,   8,  2.3,  23,1
2009,05,24,2009.393,   0,  2.0,  22,1
2009,05,25,2009.396,   0,  2.0,  21,1
2009,05,26,2009.399,   0,  2.0,  20,1
2009,05,27,2009.401,   0,  2.0,  22,1
2009,05,28,2009.404,   0,  2.0,  17,1
2009,05,29,2009.407,   0,  2.0,  21,1
2009,05,30,2009.410,   0,  2.0,  19,1
2009,05,31,2009.412,  10,  2.9,  17,1
2009,06,01,2009.415,  24,  1.9,  25,1
2009,06,02,2009.418,  26,  2.4,  27,1
2009,06,03,2009.421,  24,  2.1,  21,1
2009,06,04,2009.423,  19,  1.5,  22,1
2009,06,05,2009.426,  17,  4.2,  15,1
2009,06,06,2009.429,   0,  2.0,  16,1
2009,06,07,2009.432,   0,  2.0,  22,1
2009,06,08,2009.434,   0,  2.0,  19,1
2009,06,09,2009.437,   0,  2.0,  20,1
2009,06,10,2009.440,   0,  2.0,  18,1
2009,06,11,2009.442,   0,  2.0,  22,1
2009,06,12,2009.445,   0,  2.0,  27,1
2009,06,13,2009.448,   0,  2.0,  25,1
2009,06,14,2009.451,   0,  2.0,  20,1
2009,06,15,2009.453,   0,  2.0,  17,1
2009,06,16,2009.456,   0,  2.0,  23,1
2009,06,17,2009.459,  15,  5.0,  23,1
2009,06,18,2009.462,   0,  2.0,  22,1
2009,06,19,2009.464,   0,  2.0,  20,1
2009,06,20,2009.467,   0,  2.0,  17,1
2009,06,21,2009.470,  15,  8.8,  17,1
2009,06,22,2009.473,  17,  3.1,  17,1
2009,06,23,2009.475,  15,  2.3,  23,1
2009,06,24,2009.478,  17,  2.3,  22,1
2009,06,25,2009.481,   0,  2.0,  23,1
2009,06,26,2009.484,   0,  2.0,  20,1
2009,06,27,2009.486,   0,  2.0,  18,1
2009,06,28,2009.489,   0,  2.0,  20,1
2009,06,29,2009.492,   0,  2.0,  21,1
2009,06,30,2009.495,   0,  2.0,  21,1
2009,07,01,2009.497,   0,  2.0,  21,1
2009,07,02,2009.500,   0,  2.0,  22,1
2009,07,03,2009.503,   0,  2.0,  18,1
2009,07,04,2009.505,  24,  2.8,  24,1
2009,07,05,2009.508,  27,  2.4,  23,1
2009,07,06,2009.511,  24,  2.4,  22,1
2009,07,07,2009.514,  19,  2.0,  21,1
2009,07,08,2009.516,  21,  1.9,  22,1
2009,07,09,2009.519,  17,  2.6,  23,1
2009,07,10,2009.522,  15,  2.4,  20,1
2009,07,11,2009.525,   0,  2.0,  18,1
2009,07,12,2009.527,   0,  2.0,  23,1
2009,07,13,2009.530,   0,  2.0,  22,1
2009,07,14,2009.533,   0,  2.0,  21,1
2009,07,15,2009.536,   0,  2.0,  24,1
2009,07,16,2009.538,   0,  2.0,  23,1
2009,07,17,2009.541,   0,  2.0,  20,1
2009,07,18,2009.544,   0,  2.0,  19,1
2009,07,19,2009.547,   0,  2.0,  19,1
2009,07,20,2009.549,   0,  2.0,  20,1
2009,07,21,2009.552,   0,  2.0,  20,1
2009,07,22,2009.555,   0,  2.0,  19,1
2009,07,23,2009.558,  12,  4.2,  20,1
2009,07,24,2009.560,   0,  2.0,  23,1
2009,07,25,2009.563,   0,  2.0,  23,1
2009,07,26,2009.566,   0,  2.0,  24,1
2009,07,27,2009.568,   0,  2.0,  23,1
